0,6,10,0.8,24
0,6,8,0.8,24
0,6,6,0.8,24
0,6,6,0.8,26
0,6,6,0.8,28
0,6,4,0.8,28
0,6,2,0.8,28
0,6,2,0.8,26
0,6,2,0.8,24
0,6,2,0.8,22
0,6,2,0.8,20
0,6,2,0.8,18
0,6,2,0.8,16
0,6,2,0.8,14
0,6,2,0.8,12
0,6,8,0.8,16
0,6,10,0.8,16
0,6,12,0.8,16
0,6,12,0.8,28
0,6,12,0.8,26
0,6,12,0.8,24
0,6,18,0.8,24
0,6,20,0.8,24
0,6,22,0.8,24
0,6,22,0.8,22
0,6,22,0.8,20
0,6,20,0.8,20
0,6,4,0.8,12
0,6,6,0.8,12
0,6,8,0.8,12
0,6,10,0.8,12
0,6,12,0.8,12
0,6,14,0.8,12
0,6,14,0.8,10
0,6,14,0.8,8
0,6,12,0.8,8
0,6,10,0.8,8
0,6,8,0.8,8
0,6,6,0.8,8
0,6,6,0.8,6
0,6,14,0.8,4
0,6,14,0.8,2
0,6,16,0.8,2
0,6,18,0.8,2
0,6,26,0.8,4
0,6,24,0.8,4
0,6,22,0.8,4
0,6,20,0.8,4
0,6,18,0.8,4
0,6,26,0.8,8
0,6,24,0.8,8
0,6,26,0.8,10
0,6,26,0.8,12
0,6,24,0.8,12
0,6,22,0.8,12
0,6,20,0.8,12
0,6,18,0.8,12
0,6,18,0.8,10
0,6,18,0.8,8
0,6,20,0.8,8
0,6,12,0.8,4
0,6,10,0.8,4
0,6,8,0.8,4
0,6,6,0.8,4
0,6,18,0.8,14
0,6,18,0.8,16
0,6,18,0.8,18
0,6,18,0.8,20
0,6,18,0.8,26
0,6,18,0.8,28
0,6,16,0.8,20
0,6,16,0.8,18
0,6,14,0.8,18
0,6,14,0.8,16
0,6,14,0.8,20
0,6,12,0.8,20
0,6,10,0.8,20
0,6,8,0.8,20
0,6,6,0.8,16
0,6,6,0.8,18
0,6,6,0.8,20
